soc_id,soc_code
832,51-8021.00
833,51-8031.00
834,51-8091.00
835,51-8092.00
836,51-8093.00
837,51-8099.01
838,51-9011.00
839,51-9012.00
840,51-9021.00
841,51-9022.00
842,51-9023.00
843,51-9031.00
844,51-9032.00
845,51-9041.00
846,51-9051.00
847,51-9061.00
848,51-9071.00
849,51-9071.06
850,51-9081.00
851,51-9082.00
852,51-9083.00
853,51-9111.00
854,51-9123.00
855,51-9124.00
856,51-9141.00
857,51-9151.00
858,51-9161.00
859,51-9162.00
860,51-9191.00
861,51-9192.00
862,51-9193.00
863,51-9194.00
864,51-9195.00
865,51-9195.03
866,51-9195.04
867,51-9195.05
868,51-9196.00
869,51-9197.00
870,51-9198.00
871,53-1041.00
872,53-1042.00
873,53-1042.01
874,53-1043.00
875,53-1044.00
876,53-2011.00
877,53-2012.00
878,53-2021.00
879,53-2022.00
880,53-2031.00
881,53-3011.00
882,53-3031.00
883,53-3032.00
884,53-3033.00
885,53-3051.00
886,53-3052.00
887,53-3053.00
888,53-3054.00
889,53-4011.00
890,53-4013.00
891,53-4022.00
892,53-4031.00
893,53-4041.00
894,53-5011.00
895,53-5021.00
896,53-5022.00
897,53-5031.00
898,53-6011.00
899,53-6021.00
900,53-6031.00
901,53-6032.00
902,53-6041.00
903,53-6051.00
904,53-6051.01
905,53-6051.07
906,53-6061.00
907,53-7011.00
908,53-7021.00
909,53-7031.00
910,53-7041.00
911,53-7051.00
912,53-7061.00
913,53-7062.00
914,53-7062.04
915,53-7063.00
916,53-7064.00
917,53-7065.00
918,53-7071.00
919,53-7072.00
920,53-7073.00
921,53-7081.00
922,53-7121.00
